a change from slavery to freedom and from despotism to democracy wide as the world	the trouble with you is that you are still in a capitalist state of mind
also to all of the organizers all of the volunteers to the teachers let 's give our teachers a round of applause	it 's just been a pleasure to join you here at the national building museum for the 20th annual national science bowl
am i the only person in america who understands this simple truth	i 'm actually concerned to make sure that we fulfill that mission
america does the job well and for that we can thank the men and women of the united states military	to meet these responsibilities we need safe and unimpeded movement on the seas and bases for our ships and personnel
america has a responsibility to give all seniors the golden years they deserve and the secure dignified retirement that they worked so hard to achieve	in the individual market people in their early 60s are more than twice as likely to be denied coverage than people in their late 30s
america has move ahead and we will move even further ahead in the next administration if we are given the opportunity which you can help to give us on november 8	the hydroelectric capacity of these plants have resulted in a increase over the 1953 level and new projects either under way or under active consideration will more than double this capacity
america is a better place for your compassion and your love	he represents the spirit of this military that makes me proud
america is fortunate and i am proud to have rotc graduate colin powell serving our country	you stand out among the nearly young americans who are today enrolled in the army rotc
america needs the leadership of president george bush for four more years	americans can choose a leader who understands the threat we face today
america will be with you every step of the way as a partner as a friend	but these things can only be done if all of you take responsibility for your future
america will be your partner in the recovery and reconstruction effort	and with the spring rains approaching those needs will only grow
america will finish what we 've begun in iraq and we will win an essential victory in this war on terror	and he urges al qaeda members to join him in waging war on our coalition and on the people of iraq
america will finish what we 've begun in iraq and we will win this essential victory in the war on terror	and he urges al qaeda members to join him in waging war on our coalition and on the people of iraq
america will never be intimidated by thugs and assassins	these have been tough times for the american people
america will not build this new africa africans will	i look forward to the trip i really do
americans can be grateful every day for the skillful and daring service of our nation 's intelligence professionals	in the war on terror we have only one option we must take the fight to the enemy
americorps slots for people who do community service work and earn money to go to college	but then we literally we 've got to make sure that college is open to all
an ira you can withdraw from without penalty to buy a first home to meet a medical emergency or to pay for education	now our friends in the other party they made a big thing of that but now they do think it 's so important
and a letter came back saying well it 's okay you can throw away any papers more than 8 years old provided you make copies of each one of them first	and thanks to that effort we were able to eliminate some of the needless regulations that had built up and to subject all new proposed rules to the most careful scrutiny
and a lot of you have heard my little joke but it really does remind me their position is like getting one of those letters in the mail from ed mcmahon	i promise you most people do know yet what the difference is in the economic policies of debbie stabenow and her opponent and al gore and joe lieberman and their adversaries
and a more secure nation thanks to the leadership of our president george bush	florida voters understand the importance of steady principled consistent leadership in the white house
and a nation more secure because of the leadership of our president george bush	michigan voters understand the importance of steady principled consistent leadership in the white house
and a nation more secure thanks to the character and the leadership of our president george bush	as the election draws near minnesota is drawing attention as one of the crucial states this year
and a place at the table for all people who deserve to be there because they believe in our values and they 're willing to work for them	my fellow americans four years ago when the people of wisconsin gave bill clinton and al gore a chance to lead the country we had a simple message
and a political candidate who jumps to conclusions without knowing the facts is not a person you want as your	the senator used to know that even though he seems to have forgotten it over the course of the campaign
and a total inability to see that this country is properly defended	they talk of something they call reciprocal unilateralism whatever that may mean
and after they invaded afghanistan he said it just baffles me why the soviets these last few years have behaved as they have	i 'm proud to say that during these last 4 years not one square inch of territory has been lost to communist aggression
and again i want to thank you for your courage	i still saw a lot of blue roofs flying in
and all americans support the president in that i 'm sure	president eisenhower has done what all americans want him to do
and all i have to do is write my name	unless you were in our generation you can not imagine
and all that changed when we elected george bush president of the united states	'98 east africa embassies two of our embassies hit simultaneously hundreds killed 12 americans
and all that happened last week	three strikes and you 're out
and all the other people at epa who worked so hard to make this day come about	and i want to thank the kids back here for being with me and with you today
and all this vital work has been carried out under the steady hand of one of the great public servants of the age secretary donald rumsfeld	we 've made unprecedented improvements in port security and major public health investments to ensure early warning and rapid response to any attack with biological agents
and america has a president we can count on to get it right	a senator can be wrong for 20 years without consequence to the nation
and america must lead	just think about it
and america sees a just and hopeful world beyond the war on terror	the demands have a power and momentum of their own defying all pessimism
and americans who return home from that part of the world can be proud of their service for the rest of their lives	for the sake of our own security and that of our friends we 've undertaken a lot of serious work in the world
and as a veteran of the army national guard mike has sponsored legislation to increase benefits for veterans throughout america	he 's been a member of the board of the guerin home for abused children and junior achievement of kentuckiana
and as i have told president havel several times the czech republic is the only nation in the world that has two ambassadors at the united nations	slovak immigrants brought their skill and strength to the urban northeast and the midwest where they helped to build heavy industry and oil and steel and coal
and as i said i 'm going to try and hang with you all but this bow might get in the way	so again i want to thank you all here at columbia heights for setting such a wonderful model such a great example
and as iraqis carry on the hard work of building a prosperous and peaceful democratic nation they can count on the friendship and on the support of the people of the united states	coming on the heels of our victory in afghanistan operation iraqi freedom is proof positive of the success of our efforts to transform our military to meet the challenges of the 21st century
and as long as george bush is president of the united states this country will not permit gathering threats to become certain tragedies	yet as the president has said since when have terrorists and tyrants announced their intentions politely putting us on notice before they strike
and as our alliance evolves and adapts for the future we will always strive to uphold the spirit that president eisenhower described long ago a partnership of equality and mutual respect	above all our alliance has endured because it reflects our common values a belief in the democratic right of free people to choose their own leaders and realize their own dreams
and as some of you may know i have personally benefitted from these innovations	government 's first obligation must always be to protect the security of our nation
and as the president has assured the american people we will stay in the fight until this threat is defeated and our children and grandchildren can live in a safer world	in this hour of transition every member of our military and every person at the pentagon can be certain that america will stay on the offensive in the war on terror
and as we see what works as we 're confident that our money will be well spent and results will matter we will make more funding available	in places with weaker health care systems we 'll provide testing and counseling and support treatment programs that reduce the chances of infection by nearly 50 percent
and at the beginnings of the 21st century the wound is not fully healed and whole communities	and each generation has a responsibility to write a new chapter in the unfinished story of freedom
and because frivolous lawsuits raised the cost of health care the president wants to reform the medical liability system	time to play with their kids time to take care of their parents or to volunteer in their communities
and because higher education is a lifelong dream for so many president bush wants more pell grants to be available so that more americans can get their college diploma	we 've been through a lot together in the last four years and these have also been times of change that require new ideas to help move america forward
and because higher education is the dream of so many americans he will make pell grants more available so millions more americans can get that college diploma	he wants more americans to go to college to get a better job to own their own business and their own health care savings account or retirement
and because we did next year it will be off the charts down here at about 170 billion	let me go over here and try to illustrate what this means and i hope this microphone works
and because we have it 's attracted hardly any notice	they 're collapsing their divisions down to four basic programs
and because we include every interest and every group we speak for the people in the congress and in the executive branch	the resources of this district were developed in part by the initiative of lyndon johnson followed by a distinguished congressman homer thornberry
and believe me they never leave home without it	this is particularly good news for our manufacturing industries
and besides silicon valley is the place that made it chic to be a geek	california also holds a special place in my heart for reasons that are purely personal
and by barbara jordan 's incomparable voice for justice on common ground	this airport will be your gateway to prosperity in the 21st century
and by the time you came home he was sitting in a prison cell	before the iron soldiers left for iraq secret police held the population in fear
and by the way i 've seen jerry 's mother 's tv testimony	and guy hunt is utterly committed to the integrity of the democratic process
and come november i have no doubt that the voters of california 's 20th congressional district will send him to the united states congress	roy is a distinguished public servant with experience in both houses of the california state legislature and long service as a kern county supervisor
and come november they will be	and today america faces another choice
and congress needs to act and get a bill to my desk	it 's time for them to get a bill to my desk
and congress should pass it into law	our country must confront this basic fact
and demanded among other things that people who wanted to enlist in the navy ought to be able to do something besides work in the mess	americans endured much during world war ii the terrible loss of lives the separation of families and loved ones the interruptions of life on the homefront
and despite difficulties we knew would occur the iraqi people prefer liberty and hope to tyranny and fear	we must never forget the kind of man who ran that country and the depravity of his regime
and dick cheney serves his country as vice president of the united states	and i 'm glad to have an opportunity to thank you in person
and doctors ca write anyway	it 's an interesting idea
and during the 1990s we completely eliminated the deficit	and i 've got to give bill clinton credit
and each one will be honored by our country forever	the war on terror has placed demands on our military
and even in washington that 's a lot of money	but i took it on not for its political value
and every day he remains is a new act of war	when nato foreign ministers met in scotland in june i warned
and every time their knee jerks we get kicked	as i said the american people are not undertaxed
and finally because of this law the american people will never again be asked to foot the bill for wall street 's mistakes	looking out for people not big banks not lenders not investment houses looking out for people as they interact with the financial system
and finally he could take it anymore and he said reverend i wish you could have seen it when the lord was doing it by himself	and he was so proud of what he 'd accomplished that one sunday after church he asked the minister to drop by and see his place
and for giving its citizens the political equality and statehood i have always believed they deserve as my license plate shows	for the social mission of this church especially for your outreach to the homeless which i have been honored to support
and for seven years now they 've written me about what people were mad at me about	business must find ways to give americans the confidence they expect in these and other privacy concerns
and for that all of us say thanks to the folks who are involved in these efforts	there are people who have said what can we do to make our community a better place
and for that i am grateful and i know you are as well	they sometimes do say a lot but when they speak people do listen
and for the sake of our own security we will not stand by and let it happen	they 've cited the cases of beirut in the ' 80s and somalia in the ' 90s
and for the very first time in all of history more people on this planet live under democracy than dictatorship	great rewards will come to those who can live together learn together work together forge new ties that bind together
and forgive me but i think they owe you an explanation	and walking this fine line requires government to be strictly neutral
and fortunately for us things worked out because she is now the sasha that we all know and love today	i will never forget the time eight years ago when sasha was four months that she would not stop crying
and full normalization with its neighbors can also only come if japanese families receive a full accounting of those who have been abducted	it must be reached by a nation that takes its place in the international community by fully living up to its international obligations
and god bless the united states of america	so do ever shy away from that endeavor
and he 's likely sitting on a big gold motorcycle while he 's watching	he changed the nature of the way major events and major figures were covered
and he brings those values to shape a better america together with all of us	i 've seen john edwards think argue advocate legislate and lead for six years now
and he did it all as a proud member of the veterans of foreign wars	he 's a child of the depression who grew up to join that greatest generation
and he is doing a fantastic job for america	since then biotechnology is advancing knowledge and relieving suffering
and he is now considering leaving this vital state	he stayed in chicago for college and medical school
and he is with that last term referring to my age	you 'll forgive me i 'm going to call it a
and he now ranks among the bravest citizens this nation has ever produced	we do know and we can not predict every turn that lies ahead
and he said he 'll kick your butt	and he said are you thinking about it
and he said i did exactly understand the question but i 'll stand by you parson till the last he said but it seems to me we 're in a hopeless minority	well as i said last night it 's nice to be talking to not one but almost half a hundred heads of state and with no interpretation required at least not usually
and his summer job that do be embarrassed now	well i got to introduce dick at that convention
and i 'd been hanging around down there a long time	and we have the option not to decide and just drift
and i 'm confident that seven months from now with sharp alternatives before them the american people will choose the confident steady principled leadership of george bush	american workers and businesses welcomed the tax relief of the last several years and they have put that money to better use than the government would have
and i 'm glad that we have been a part of that	so here we are now almost seven years into this grand experiment
and i 'm honored to be the president during the period of time when this nation will realize its full potential	a period in our country when everybody understands that each of us are responsible for the decisions we make in life
and i 'm pleased that he could join us here this morning	finally it is vital for african nations to continue diversifying their economies
and i 'm proud of that	they wanted a path to independence
and i 'm sure you paid more than i did to get in	and now as the vice president i preside over the united states senate
and i 'm very proud of that	that 's how close that election was
and i 'm very very grateful	i am delighted to be here
and i 've seen enough to know that your generation is really something special	now let me say here that the 1984 election is just a partisan contest
and i am always grateful to have the opportunity to introduce the president of the united states william jefferson clinton	and that 's why he has brought his message of openness and mutual respect to every corner of the earth
and i appreciate the leadership they 've had	and so this is a team of character
and i believe if president kennedy were still representing that seat in congress he would endorse it as well	that they should support a new more modern version of trade adjustment assistance that will work for this time
and i believe that well my generation and there were a few other generations between mine and yours	and this is directed to the young people of our country who are here with us this evening
and i believe we can do much better	which have seen men and machines go idle
and i believe you know my generation and there 's a few between mine and yours	who do they think has found out about those tools and is doing something about it
and i bring gratitude and good wishes from the president george bush	i also want to thank the family members who are with us
and i can keep talking about this until i once again lose my voice	we ought to help them for ourselves and for their own people as well
and i can tell you from parliamentary experience it is not the women who take a long time to make a point	who is absolutely marvellous and who i know has done so much for western australia as well as for us in britain
and i did see anything very funny about the circumstances	and of course naughton knew then he 'd been nailed
and i do know about you but we 've instituted camp obama in my house	for the last 14 years kaboom has been building playgrounds in communities across the country
and i do know why i brought that up because they had to beat out the cardinals to do it	i remember back when bob feller was just out of high school and starting with the cleveland indians al lyons
and i have challenged every member of congress who believes that to relinquish his or her salary for a year	we have finally more people in the schools than we had during the baby boom generation after world war ii
and i here today pledge it again as vice president of the united states of america	so did millions of people around the world whose quest for freedom is not yet complete
and i hope that you 'll join me as we create that future together	we 're going to continue to force personal income tax rates down not up
and i hope we can do it	what else do you have to do
and i hope you 'll join me	a tax plan that cuts taxes permanently
and i hope you 'll reelect him	and the i love all of you
and i hope you 'll support it	i want you to think about this
and i hope you all will remember that	and we were going to turn it around
and i hope you will help me send a loud message back to washington to act and act now	but one of the things i 'd like for every child in that grade school to know is this
and i know all of you will support that	that minimum wage bill did some other things too
and i know that 's the alaskan way	lisa has always been an advocate for children
and i know you want to join me in showing henry that he has our heartfelt support	in fact his operation jackpot was one of the first major breakthroughs in our war on drugs
and i particularly want to acknowledge the leadership of francis collins the director of the human genome project who is of course here tonight	the hemoglobin in our blood the keratin in our hair and the olfactory receptors with which we smell the fragrance of a spring day
and i put a good man in charge my friend and your friend tony principi	if you 've worn the uniform you know just how efficiently government can sometimes work
and i repeat if it 's good enough for you in the congress it ought to be good enough for working people here in america	you got a husband and a wife and they 've worked all their life both contributing into the social security and the husband passes away
and i said well i might want to go somewhere else someday	but we 've got to have the money to do this research
and i say it shall and it will be a world of freedom but it will be only if we do our job for america so that america can do its job for the world in its position of world leadership	the reason you folks came west or your parents came west or your grandparents came west or your grandparents were the first the reason you did was that you wanted to build a better life for your children you wanted progress
and i say to you at the present time americans have learned their lesson and they 're not going to make the mistake again of giving up territory in advance to communism anyplace in the world	and here may i say that i just had the opportunity to read this morning in the paper of a statement that senator kennedy made yesterday about a couple of islands far off in the pacific
and i say to you enough is enough	how do we see this immorality turned around
and i still believe that we have made the right decision in not committing our own troops to become embroiled in this conflict in europe nor to join the united nations operations	for the past two and a half years the united states has sought to contain and end the conflict to help to preserve the bosnian nation as a multistate entity multiethnic entity
and i still believe that when it comes to defining the future the american public will be with the new democratic party instead of the right wing of the republican party which is driving their agenda	they all stuck with the nra and the republican congressional leadership when we tried to close the gun show loophole after we proved that background checks do not undermine people 's legitimate hunting and sporting interests
and i strongly believe that meaningful real tax relief can ignite another generation of growth	the world will know this that i strongly and my administration strongly supports free trade
and i thank her for it	most states just do it locally
and i thank her for representing the best of america all over the world and giving people hope that the world can be full of peace and opportunity	we just got back from russia and ireland and when i was in ireland i went to the new parliament at stormont where all the parties are represented
and i thank him for that and i know you believe that	schools that require school uniforms that 's one way to do that
and i thank them	thank you so much
and i thank you	thank you very much
and i thank you for giving me that opportunity and what you have done to advance the cause of a free press	your convention program chair bob hayman and your incoming president bill ketler ladies and gentlemen i 'm very glad to be here
and i thank you for that	look what was happening in brazil
and i thank you sir	and my friend tom harkin
and i think all israelis they 'll tell you president toda chaver thank you chaver	it is my hope that president assad will join us soon on this historic journey
and i think he has earned another term in the united states house of representatives	and i look forward to swearing in senator mccain for his fourth term next january
and i think it 's very important to	and the two are not necessarily in conflict
and i think the healthy forest initiative is a very good a very positive step forward	we 've had about a five year drought and we 've lost vast stretches of forest
and i think we think the world should work more that way	the olympics have captured the imagination and the heart of people everywhere
and i think you ought to have more opportunity to see it	hillary has said many times that governments do raise children parents do
and i thought i was the one who needed a hearing aid	yes it created opportunity for those who had before been economically disenfranchised
and i want america to be that nation	that 's why i need your help now
and i want to publicly thank you secretary	you think i 'm joking i 'm not
and i want to show you a of it	the opportunities opening up in the future are dramatic
and i want to tell you that my generation and a few generations between mine and yours	and we 're going to keep raising those scores and restore american academic excellence second to none
and i want to thank	welcome to the white house
and i want to thank all of you for your support your counsel your occasional grumbling	that the work ahead will not be easy and it 's not going to happen overnight
and i want to thank him and senator richard shelby	i know my administration will be judged by various markers
and i want to thank my friend secretary gates for his unique willingness to serve two presidents of different parties with differing views a testimony to bob 's patriotism his commitment to service and above all his determination to see this effort through	they have always been engaged but now they 're moving to the forefront people like erin eddy a former peace corps volunteer in ecuador who now serves outside the wire as a public diplomacy officer on a regional provincial reconstruction team in kirkuk
and i want to thank our mexican and canadian friends for working with us to jointly develop	and i want to thank you all for being good stewards of the nation 's scarce resources
and i want to thank the international women 's forum for helping them do that	these women have seized freedom 's opportunities and created the first organization in iraqi history
and i want to thank you all for coming	there is no ban on embryonic stem cell research
and i want you to help us do it	nearly all of them are capable of doing this
and i want you to help us do that	african american drivers pulled over because they look suspicious
and i was pleased to tell him that old hardhearted me	and those that did have money volunteered the time and energy
and i welcome you here to the white house	dallas cowboy fan and yes i know i know
and i will direct the cabinet to report back to me within 60 days to have a plan to end this stalemate	i tell you i 'll never forget what i 've heard today the stories the pictures the passion from all of you
and i will never forget it	i want to tell you something
and i will never forget you and i 'll never stop fighting for you	i have visited your homes i visited your churches i visited your community halls
and i will never knowingly use that term again	let me tell you something you think about this
and i will probably never shoot a bear	he camped in a snow blizzard at yosemite
and i wo prejudge well yes i will	again it has been blocked in the senate
and i wo rest until we know that every single child has someplace to go and something positive to do when they get out of school	and we 've had five years of declining crime in the country as a whole the lowest crime rate in 24 years in the united states
and i worked as hard as i could to turn this country around get it going in the right direction and that 's really what i want to have	eight years ago when we were in deep trouble the economy was down society was divided we had all kinds of difficulties everybody knew what we had to do
and i would ask them all to please stand	they had held on but not without a price
and i would like to ask all four of them to stand and be recognized now	there will be five times as many by the year 2000 perhaps more doing everything conceivable
and i would like to tell you that he gave a very fine speech on the humanities even though these were not among his strongest subjects in college	but it did cause dick concern because he was committed to speak to you today and he woke up this morning sort of croaking and making some noises
and if everybody else had done that they 'd have found the results more satisfactory	and we do have all the answers because a lot of the problems are new
and if i can remember what it was like way back there that 's quite a test of memory	this antiprotectionist and antigrowth message is something i 'll be taking to other stops today in your great state
and if not there from experience i can tell you there will be a lot of meetings with congressional leadership in which you can use that	after 8 years of working together we know that george bush will be a great president who will continue and expand what we have built together
and if people can work we would have half the problems we 've got in this country	in 12 years 12 years we went from a 1 trillion to a 4 trillion national debt
and if she did have an idea a minute	i was always looking for things i could do
and if they say you need the care your health care plan must provide it period	and let me be specific again about the type of bill i 'd like to sign
and if we can not stand for our core values then we are not keeping faith with the documents that are enshrined in this hall	we see that above all in the recent debate how the recent debate has obscured the truth and sends people into opposite and absolutist ends
and if you 're interested call 877	but some do know where to help
and if you can win those races for the gipper	please see that they all get back there with us
and if you have any doubt about that just look at what we did for the hula hoop	and your support for this is going to make a huge difference in helping us get this done
and if you would mind standing i wish you would please	senator ted stevens i appreciate so very much you being here
and in a time of challenge america needs and america has a president we can count on to get it right	these are not times for leaders who shift with the political winds saying one thing one day and another the next
and in a way that 's a happy thing for america because you do have to guess this time	those kids need people like you and we need more kids with more seniors helping them one on one
and in fact here today i want to acknowledge 40 of those people who are sitting in the front rows here oh this is the 40	that when you move into a new place that you learn about your community that you introduce yourself and you not just talk but you listen
and in our democracy political will is a renewable resource	it is about our capacity to transcend our own limitations
and in spite of all the changes which have happened since 1931 since alan entered parliament oh yes times have changed there have been certain things which have been unchanging throughout those years and that is the undaunted spirit of the british people	and with that united nations resolution behind us we know we either have to persuade argentine to withdraw or we in fact have in the end to be prepared to use force for those things which i said liberty and justice and duty
and in this second term president bush will also continue nominating federal judges who faithfully interpret the law instead of legislating from the bench	first out of basic fairness there must be no changes in social security for those now receiving benefits and for those close to retirement
and in this second term president bush will continue nominating federal judges who faithfully interpret the law instead of legislating from the bench	even allowing for the economic impact of the hurricane on the gulf coast our economy is resilient and still on an upward path
and in this time of challenge america needs and america has a president we can count on to get it right	these are not times for leaders who shift with the political winds saying one thing one day and another the next
and in your political activities since this is a political meeting it means that every american be he democrat or republican should not only vote for the man or woman of his choice but he should also work for that man so that the selection that is made represents the best thinking of the total american voting population	he said vice president i want to express to you and to nixon my appreciation for your stopping at our school he said i trust that you will extend my best wishes and those of our students here to the students that you meet in the united states on your return and i answered him in this way
and instead of being in a vast church we worship at on sunday morning with about 50 people and about six or seven people singing in the choir	first pastor and cherry on behalf of my wife my daughter and all of our company here thank you so much for making us feel at home today
and it 's important for you to understand that	or maybe somebody says i should deal with it
and it does have to	she has two young children
and it has already been confirmed by the blood of patriots and the sacrifice of generations of americans	and even though it may lead you to doubt my credibility i 've got to point it out
and it has to do with me and guys like yarbrough	a lot of people said you should talk about it president
and it is now my distinct and extraordinary honor to ask each of them to come forward to receive their award as a military aide reads their citation	so determined to help mohammed yunus left the classroom for a village and discovered that just 27 would free dozens of artisans vendors and rickshaw pullers from debt
and it is that that i ask for the opportunity today for you to decide	we 've heard a lot of concern expressed about america 's position in the world
and it is unacceptable for our country	and health care is a perfect example
and it is wrong	circuit court of appeals
and it looks to me like he qualifies just on that ground alone	it 's the straw poll conducted at the december state convention in florida
and it means igniting a new economy that generates good jobs right here in the united states and starts freeing ourselves from dependence on foreign oil	we were going through the worst crisis since the great depression and we had to make sure that we did slip into a second great depression
and it must act now	now we know the facts
and it ought to be that way for everybody all across the country	now we 've been working on getting an energy bill through the congress
and it saves on our deficits	that 's what this is about
and it seems to me the best line i could give all of you at this great jewish event tonight is happy patrick 's day	to ambassador yaacobi rabinovich members of the young leadership cabinet and all of you thank you for giving me the opportunity to come by tonight
and it should not be a small matter to the united states congress	and those benefits are scheduled to rise dramatically over the next few decades
and it strengthens our commitment to see that such a terrible thing never occurs again	all of you know well the sad and difficult history of the battle of okinawa
and it was the right decision to make	but we 're not going go weaken it
and just last week remarkably the kuwaiti legislature granted its women citizens the right to vote	today citizens in the region are demanding that their governments respond to this simple audacious question
and just yesterday we learned that our exports of american cars to japan increased 40 percent in just one year last year	our security as individuals communities and a nation depends upon our policies to fight terrorism crime and drugs at home and abroad
and ladies and gentlemen it 's my great honor to present to you the president of the united states	and incidentally partly because of this we were able to have the success announced yesterday with the crime bill
and let 's do everything that we can to give our kids the future that we want for them and we know they deserve	and that 's why i 'm here with all of you because you all have a vitally important role to play in this effort
and let 's win this fight	so here 's the bottom line
and let me colonel by the way on behalf of everybody thank you	vice president we 've recently seen scandals of and some of the others
and let me please make a toast to my host	that was the promise of mexico 's struggle for independence
and let us not forget that progress when we talk of the difficulties	it was in 1995 that you first came to northern ireland as president
and like me he married above himself	i really do enjoy working with denny
and like your ancestors your greatest power is the ability to inspire a new generation of women and girls	we too can contribute to the spread of liberty by teaching our children tolerance and respect for all people
and lives will be saved	even by motorcycle or bicycle
and lynne is here too of course	well we 're delighted to be home
and maine has an excellent community college system	there are more single moms doing double duty
and many women find themselves doing the same thing for their spouses	and that 's why i 'd like to talk to you today
and may god continue to bless america	freedom is finding allies in every country
and may i say as a former secretary of defense that i 've never been more proud of the american military	we are also expanding our maritime interdiction operations to prevent the illegal movement of personnel arms and equipment into our country
and medicare and social security have long term problems that we 're going to solve	we must respond and act with courage to keep medicare and social security benefits secure
and more than men and women born in mexico now wear the uniform of the united states military	more than 25 million men and women of mexican origin now make their homes in the united states
and most of all to my partners my wife and two children god bless you and thank you very much	she promoted innovation and research and acted to protect the environment while making energy safe and reliable and cost effective
and my own sons the pride of my life david holbrooke and anthony holbrooke both now television producers for all of you i will say great television producers in new york	it will not be easy for my wife kati and me to follow bill and barbara richardson who have left such a vivid mark on the united nations and new york
and my predecessor the very first vice president john adams actually did that a few times and then they withdrew his floor privileges	it 's a pleasure to come to utah with your outstanding congressional delegation men like chris cannon and rob bishop in the house
and now	all right
and now even my cat socks has his own page	but for others it 's a time of profound insecurity
and now even though i 'm going to change subjects here i 'm still preaching to the choir	and there 's one subject i wish the hearings had dealt with more thoroughly and that 's crime
and now finally let me just add a few words about the controversy concerning iran or have you heard about it	this country is great and our freedom is sure as long as we continue to have a federation of sovereign states
and now i 'd like to introduce to you a very special young woman melanie musick	i think it 's symbolic that members of congress could stand up to a large lobby
