Argument,Topic,Hyper_topic,Counter
"Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated. ",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,Flu vaccination should be mandatory ,Flu vaccination,291
"

If the government prioritizes group rights above individual rights, it removes personal freedoms.",Flu vaccination should be mandatory ,Flu vaccination,291
"Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house",Flu vaccination should be mandatory ,Flu vaccination,291
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise",Flu vaccination should be mandatory ,Flu vaccination,291
"The constitution does not grant the government the right to do this. The government also defines all powers that the government has, so it would be violating its contractual agreements with the people.",Flu vaccination should be mandatory ,Flu vaccination,291
Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement. ,Flu vaccination should be mandatory ,Flu vaccination,291
It the right of the parents to choose what they will do about their children health ,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should not be mandatory because it would violate people's bodily autonomy.,Flu vaccination should be mandatory ,Flu vaccination,291
"If the government prioritizes group rights above individual rights, it removes personal freedoms.

",Flu vaccination should be mandatory ,Flu vaccination,291
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.",Flu vaccination should be mandatory ,Flu vaccination,291
"Vaccination is very invasive, it is a needle going into a person's body. It is not legitimate to invade like that to a person's privacy and body.",Flu vaccination should be mandatory ,Flu vaccination,291
The state ought not intervene in individuals' right of bodily autonomy regardless of societal harms. Forcing vaccinations is a crude invasion to someone's body and should therefore not be done.,Flu vaccination should be mandatory ,Flu vaccination,291
Vaccines may kill people - we can not predict if a person would develop a severe reaction to any of the ingredients,Flu vaccination should be mandatory ,Flu vaccination,291
"If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.",Flu vaccination should be mandatory ,Flu vaccination,291
Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance.",Flu vaccination should be mandatory ,Flu vaccination,291
"If the government prioritizes group rights above individual rights, it removes personal freedoms.",Flu vaccination should be mandatory ,Flu vaccination,291
The flu vaccine is relatively painful and could cause short-term pain and weakness. It is illegitimate to force people to undertake it against their will.,Flu vaccination should be mandatory ,Flu vaccination,291
The flu is only deadly for a small group of at-risk people who should take it upon themselves to protect themselves but that does not mean everyone should risk vaccination side effects.,Flu vaccination should be mandatory ,Flu vaccination,291
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.,Flu vaccination should be mandatory ,Flu vaccination,291
"If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Flu vaccination should be mandatory ,Flu vaccination,291
"Some people have ideological or religious convictions against vaccines, and it would be illegitimate to force it on them.",Flu vaccination should be mandatory ,Flu vaccination,291
Opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.,Flu vaccination should be mandatory ,Flu vaccination,291
"It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy.",Flu vaccination should be mandatory ,Flu vaccination,291
Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination should be mandatory ,Flu vaccination,291
"Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated.",Flu vaccination should be mandatory ,Flu vaccination,291
"The flu vaccine is unpopular amongst a wide portion of the population, thus mandating it would be undemocratic and a violation of the population's political will.",Flu vaccination should be mandatory ,Flu vaccination,291
The flu is not a dangerous enough disease to justify the transgression of personal autonomy brought about by vaccines.,Flu vaccination should be mandatory ,Flu vaccination,291
"Given most deseases spread in more ways than by humans, and given most people are vaccinated, the profit to society (or damage to it) is négligeable and therefor not worth limiting people's freedom over",Flu vaccination should be mandatory ,Flu vaccination,291
"Some religious beliefs are against vaccinations, and it's not legitimate for the state to intervene in that.",Flu vaccination should be mandatory ,Flu vaccination,291
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally.",Flu vaccination should be mandatory ,Flu vaccination,291
"People have a right over their bodies, the government should not intefiere with it.",Flu vaccination should be mandatory ,Flu vaccination,291
"While vaccinations are important, there are legitimate concerns regarding vaccination injuries and everyone should weigh the risks of both the flu and the possible side effects for themselves, as that is what democracy is about.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because the flu is not as serious a health risk as other illnesses that we don't mandate a vaccine for, such as HPV.",Flu vaccination should be mandatory ,Flu vaccination,291
"Many people have deep held beliefs against vaccination, such as religious beliefs, and the government should not trample upon the values of those people and violate their consent by forcing them to get vaccinated.",Flu vaccination should be mandatory ,Flu vaccination,291
Herd immunity isn't possible because the flu changes entirely every year and severely sick and children can't be vaccinated. So the potential gain is minimal while a lot of harm can occur from complications.,Flu vaccination should be mandatory ,Flu vaccination,291
"Vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it.",Flu vaccination should be mandatory ,Flu vaccination,291
People can get sick from the vaccination and lose workdays or even get into complications. Even if the virus is weaker there are more people being hurt.,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should not be mandatory because it is unnecessary to protect the public from the flu - enough people opt in freely to limit its spread.,Flu vaccination should be mandatory ,Flu vaccination,291
"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies.",Flu vaccination should be mandatory ,Flu vaccination,291
"The amount of money spent on enforcing the law, will be greater them the money spent on helping the really sick people",Flu vaccination should be mandatory ,Flu vaccination,291
It the right of the parents to choose what they will do about their children health,Flu vaccination should be mandatory ,Flu vaccination,291
"Forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate.",Flu vaccination should be mandatory ,Flu vaccination,291
It is illegitimate to interfere with parents medical decisions in life threatening situations,Flu vaccination should be mandatory ,Flu vaccination,291
"The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way.",Flu vaccination should be mandatory ,Flu vaccination,291
"Vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.",Flu vaccination should be mandatory ,Flu vaccination,291
"The government cannot restrain people and administer vaccines, as it would be a violation of bodily autonomy.",Flu vaccination should be mandatory ,Flu vaccination,291
"The flu vaccine can cause serious illness and even death in some cases, and thus a government mandate to vaccinate puts lives at risk.",Flu vaccination should be mandatory ,Flu vaccination,291
taking away the opportunity from an individual to decide for himself is immoral. he should be able to decide if he wants to get vaccinated or not.,Flu vaccination should be mandatory ,Flu vaccination,291
"Since flu strains mutate constantly and any given flu vaccine is just a scientist's guess of what will be the flu strain that year, the flu vaccine is very rarely effective.",Flu vaccination should be mandatory ,Flu vaccination,291
"While I believe that flu vaccines are beneficial to people, I do not believe they should be mandatory because I should have a right to decide if I want to take a risk with my health.",Flu vaccination should be mandatory ,Flu vaccination,291
"People are already well aware of the harms of the flu and the benefits of vaccination, meaning that the government should allow people to make the decisions they deem best for themselves.",Flu vaccination should be mandatory ,Flu vaccination,291
"The government shouldn't pass policies that are likely to disproportionately target sub-sects of the population since this is unfair and entrenches cycles of oppression, mandating flu vaccines disproportionately hurts poorer people and people of color.",Flu vaccination should be mandatory ,Flu vaccination,291
"If the government refuses to respect the will of the people, it will fall into fascism.",Flu vaccination should be mandatory ,Flu vaccination,291
"People have a right to bodily autonomy, and forcing vaccination limits that right",Flu vaccination should be mandatory ,Flu vaccination,291
The proposal will put infants at unnecessary risk of the vaccine's side effects,Flu vaccination should be mandatory ,Flu vaccination,291
"Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided.",Flu vaccination should be mandatory ,Flu vaccination,291
The flu vaccine is not 100% effective due to mutating viruses -- mandating this vaccine is a massive waste of money and informational capital.,Flu vaccination should be mandatory ,Flu vaccination,291
Mandating flu vaccination pads the pockets of large pharmaceutical company at the cost of individuals who don't want the vaccine.,Flu vaccination should be mandatory ,Flu vaccination,291
Vaccines can cause allergic reactions that are more dangerous than the flu.,Flu vaccination should be mandatory ,Flu vaccination,291
"Bodily autonomy is one of the most important rights a free state can guarantee, and mandatory flu vaccination violates this right.",Flu vaccination should be mandatory ,Flu vaccination,291
"This will cause strong public resentment, as people will feel that the state is not respectingtheir rights and autonomy.",Flu vaccination should be mandatory ,Flu vaccination,291
Vaccinations are an invasive medical procedure and no one has the right to deem invasive procedures mandatory.,Flu vaccination should be mandatory ,Flu vaccination,291
The public does not support this kind of policy and the government must always prioritize the will of the people.,Flu vaccination should be mandatory ,Flu vaccination,291
"States are built on a desire to protect individual autonomy, you cannot violate it even if it is to preserve public health.",Flu vaccination should be mandatory ,Flu vaccination,291
You can not force people to inject substances they do not want to their bodies.,Flu vaccination should be mandatory ,Flu vaccination,291
"When promoting a practice the government should use least-restrictive means to maximize individual autonomy, since the same outcome can occur through education and increasing access to vaccines, mandating flu vaccination is unnecessary.",Flu vaccination should be mandatory ,Flu vaccination,291
"When we force vaccines, we take away the incentives for the health system to engage with the public and explain the importance of vaccines. In the long terms, this leads to less public trust.",Flu vaccination should be mandatory ,Flu vaccination,291
"Given most deseases spread in more ways than by humans, and given most people are vaccinated, the profit to society (or damage to it) is n&eacute;gligeable and therefor not worth limiting people's freedom over",Flu vaccination should be mandatory ,Flu vaccination,291
The government have no Legitimacy to force people to vaccinate themselves,Flu vaccination should be mandatory ,Flu vaccination,291
"The disease would grow stronger by mutating on the entire population, it is best to save it for really sick oeople",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should not be mandatory because an average person can weigh the risk of the flu, a familiar illness, against the unhappiness produced by the vaccine and make their own decision.",Flu vaccination should be mandatory ,Flu vaccination,291
"People often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness.",Flu vaccination should be mandatory ,Flu vaccination,291
Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.,Flu vaccination should be mandatory ,Flu vaccination,291
"Even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.",Flu vaccination should be mandatory ,Flu vaccination,291
Vaccination is risky becose you might get sick and forcing someone to take that risk is unethical,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccine should not be mandatory because some individuals are immunocompromised or allergic to components of the vaccine. We cannot force injury on these individuals to protect others.,Flu vaccination should be mandatory ,Flu vaccination,291
"There are limited numbers of vaccines available in the world, so massive increased consumption in the US will trade off with poorer countries that need it more.",Flu vaccination should be mandatory ,Flu vaccination,291
The flu vaccine is ineffective at preventing disease and won't save lives.,Flu vaccination should be mandatory ,Flu vaccination,291
"There are a number of potential side effects of the flu vaccine that lead to more harm than good, meaning people should be able to decide for themselves whether to vaccinate or not.",Flu vaccination should be mandatory ,Flu vaccination,291
"The flu vaccine can be incredibly costly, meaning that a large increase in government spending would be necessary in order to facilitate this mandate.",Flu vaccination should be mandatory ,Flu vaccination,291
"There are many strains of flu each year, so the effectivity in preventing illness by the vaccine for flu is very limited",Flu vaccination should be mandatory ,Flu vaccination,291
The only responsible persons for kids are their parents. If they dont think that their kids should get the vaccine its their own decision.,Flu vaccination should be mandatory ,Flu vaccination,291
The flu vaccine barely works anyways since strains of flu change every year.,Flu vaccination should be mandatory ,Flu vaccination,291
"There are more important public health projects that deserve our attention and resources, such as cancer research.",Flu vaccination should be mandatory ,Flu vaccination,291
if we vaccinate babies and elderly we put them in even a greater danger than being infected with the flu due to all those chemicals that could affect them gravely.,Flu vaccination should be mandatory ,Flu vaccination,291
"The only way to enforce these kinds of mandates is through fines or jail time, both won't change people's opinions while significantly impeding societal productivity and hurting individuals.",Flu vaccination should be mandatory ,Flu vaccination,291
Forcing people to do something when the chances of it hurting them is not high is not legitimate.,Flu vaccination should be mandatory ,Flu vaccination,291
Individuals can be allergic to the flu vaccine due to pre-existing endogenous conditions that reject the vaccine.,Flu vaccination should be mandatory ,Flu vaccination,291
"There are other effective means that are less harmful to get people to vaccinate, such as spreading the idea that getting vaccinated is important, explaining the different harms, and condemning fake news.",Flu vaccination should be mandatory ,Flu vaccination,291
"We can't coerce people to be healthier because it's their choice not to be healthy as long as they harm only themselves, which they will because they are few individuals",Flu vaccination should be mandatory ,Flu vaccination,291
"The harm caused by the flu isn't large enough to justify this level of intrusion into people's freedom of choice. This may be legitimate for measles, but not flu.",Flu vaccination should be mandatory ,Flu vaccination,291
The proposal will lead to backlash against the healthcare system and thus less cooperation with it.,Flu vaccination should be mandatory ,Flu vaccination,291
"there are people who are ideologically opposed to shots, and it will be immoral for us to force such things against them",Flu vaccination should be mandatory ,Flu vaccination,291
"State mandated vaccines will cause even more suspicion against vaccinations and more people will avoid them, including more serious diseases, which will lead to more preventable illnesses and deaths",Flu vaccination should be mandatory ,Flu vaccination,291
"Vaccinations could harm the person getting vaccinated by getting infected, thus harming him more than protecting",Flu vaccination should be mandatory ,Flu vaccination,291
"Vulnerable populations who cannot be vaccinated and who are particularly vulnerable to flu-induced mortality--such as people with immunological deficiencies--require herd immunity to be safe, and herd immunity can only be achieved with mandatory vaccination. ",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory because people who are healthy enough to receive the vaccine have a moral duty to limit the risk of the flu to those who cannot get the vaccine.,Flu vaccination should be mandatory ,Flu vaccination,291
"Mandatory vaccines would put the government in line with pro health charities and political groups, expanding health access and consciousness for the entire populace.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should be mandatory because there is a collective action problem in play, where nobody benefits much as an individual but the community benefits enormously.",Flu vaccination should be mandatory ,Flu vaccination,291
"Given how herd immunity works, every person who isn't vaccinated massively increases the chances of everyone else getting sick. Therefore, when more people are vaccinated, we get a healthier society.",Flu vaccination should be mandatory ,Flu vaccination,291
"In developing countries where the flu is more likely to have intense adverse effects due to poor sanitation and lack of treatment, the flu vaccine prevents having to deal with a health crisis later. ",Flu vaccination should be mandatory ,Flu vaccination,291
A government mandate on flu vaccination will counterbalance lies being spread by the anti-vaxxing movement that are detrimental to society. ,Flu vaccination should be mandatory ,Flu vaccination,291
The proposal will lead to herd vaccination and thus complete erasor of the illness,Flu vaccination should be mandatory ,Flu vaccination,291
"The flu kills 36000 per year, many of which could be prevented by the vaccine.",Flu vaccination should be mandatory ,Flu vaccination,291
"The government has an obligation to the population as a whole over any individual, so it must prioritize the health of the people over individual rights.",Flu vaccination should be mandatory ,Flu vaccination,291
"Herd immunity increases the effectiveness of the flu vaccine overall, meaning that mandating flu vaccination would decrease the rates of illness and risk for everyone.",Flu vaccination should be mandatory ,Flu vaccination,291
"Governments need to think about the greater good and when people spread viruses through the air at the supermarket, schools, churches - these are cases where the government should intervene and ensure better health overall.",Flu vaccination should be mandatory ,Flu vaccination,291
"Most people are not informed enough about the effects or don't think about it. When it comes to a matter of live or death, the state should force those people to to do it.",Flu vaccination should be mandatory ,Flu vaccination,291
"Adults regularly refuse to get the vaccine because they know they won't be seriously harmed due to contracting the flu, despite the fact that it would be better for everyone if they got the vaccine.",Flu vaccination should be mandatory ,Flu vaccination,291
"When not vaccinating, you increase the chances of others, who didn't get a say in your decision, to get sick. It's illegutimate to make that choice on someone else's behalf.",Flu vaccination should be mandatory ,Flu vaccination,291
Children are generally vulnurable and many children may have undetected conditions like astma. Not vaccinating a child puts them at great risk and is thus analogous to neglect.,Flu vaccination should be mandatory ,Flu vaccination,291
Mandating flu vaccines will raise awareness about how deadly the flu actually is (causing thousands of death a year). ,Flu vaccination should be mandatory ,Flu vaccination,291
"By not vaccinating people are subjecting other people, especially children who can't yet have vaccines, to diseases that can harm them harshly.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should be mandatory because when most people get the flu vaccine, it helps protect the population as a whole. This is because there are fewer infected people to transmit the highly contagious illness.",Flu vaccination should be mandatory ,Flu vaccination,291
People are less likely to get the flu because they are vaccinated thus more immune,Flu vaccination should be mandatory ,Flu vaccination,291
"Even if flu vaccines aren't 100% effective, the chance of effectiveness is worth mandating vaccination since there are so few risks to people getting them that even one additionally prevented case is worth it. ",Flu vaccination should be mandatory ,Flu vaccination,291
Government signalling that health is important and must actively be regulated can change people's behavior in favor of public health.,Flu vaccination should be mandatory ,Flu vaccination,291
"Preventative medicine, like the vaccine, costs less than reactive medicine after the flue is contracted.",Flu vaccination should be mandatory ,Flu vaccination,291
Vaccinations are overall cheaper than the ongoing cost of medicine and healthcare to sick people.,Flu vaccination should be mandatory ,Flu vaccination,291
The government should protect those that can't protect themselves like children or people with asthma. ,Flu vaccination should be mandatory ,Flu vaccination,291
"People who can't get vaccinated due to medical reasons depend on herd immunity from mass vaccination of everyone else for protection, mandating vaccines maintains herd immunity. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Herd Immunity: we can defeat plagues or viruses completely by gaining a critical mass of vaccinated people, so the disease cannot be spread",Flu vaccination should be mandatory ,Flu vaccination,291
The elderly are particularly susceptible to disease as they have weaker immune systems. The vaccine protects them.,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory because if governments order hundreds of millions of units of the vaccine it will drive down the cost for everyone and facilitate access to good health.,Flu vaccination should be mandatory ,Flu vaccination,291
"Making flu vaccination mandatory would mean more people are immune from the flu, which saves lives because, even though the flu has a low mortality rate, this rate is still nonzero. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Because it is so widespread, hundreds of people die from the flu every year. This vaccine saves lives, and this is more important than people's preferences.",Flu vaccination should be mandatory ,Flu vaccination,291
"Sending people to vaccinate will make people see some doctor and have some interaction with medical professionals, means more awareness and probability for people to care for their health",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should be mandatory in order to ensure that people without the means to get the vaccine on their own are provided with protection from the flu, like children or elderly people.",Flu vaccination should be mandatory ,Flu vaccination,291
"It legitimizes and makes the act of vaccinating more a part of day to day life, thus more people likely to vaccinate in general",Flu vaccination should be mandatory ,Flu vaccination,291
"Children are unable to decide for themselves whether or no to get vaccinated, and thus the government should step in to mandate vaccination in order to protect them from bad parental decision making.",Flu vaccination should be mandatory ,Flu vaccination,291
"The flu hospitalizes over 200,000 per year, many of which could be avoided by the vaccine.",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccination should be mandatory because the state has duty to promote public health, which it neglects if it allows people to put the community at risk by not vaccinating.",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory in countries with national healthcare programmes because the state has to pick up the tab for people who willingly put themselves at risk.,Flu vaccination should be mandatory ,Flu vaccination,291
"There no proves of the vaccination causing any disease or illness, meaning it only benefits anyone getting it. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Vulnerable populations who cannot be vaccinated and who have higher flu mortality--for example, people with immunological deficiencies--can only be protected through herd immunities, which requires very high vaccination rates achievable only through mandatory flu vaccination. ",Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccine is helping to young babys and kids to survive their first years







Before the flu vaccine, many people's in Europe die because of the disease. Now we can give life for more people's",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory because Doctors who are experts on epidemics and the flu know what is best for people better than they know it for themselves.,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory because even a very small risk of another Spanish Flu is unacceptable.,Flu vaccination should be mandatory ,Flu vaccination,291
Vaccination would get a stamp of validation from the government - it's mandatory because it cant possibly harm you - and more people will choose to get vaccinated ,Flu vaccination should be mandatory ,Flu vaccination,291
"For young children in daycare to limit the transfer of sickness which could lead to younger siblings, too young to be vaccinated, becoming sick at home.",Flu vaccination should be mandatory ,Flu vaccination,291
Greater usage of vaccines provides a greater sample size who prove vaccines are both safe and necessary to prevent disease.,Flu vaccination should be mandatory ,Flu vaccination,291
Vaccination would get a stamp of validation from the government - it's mandatory because it cant possibly harm you - and more people will choose to get vaccinated,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccines in schools prevent children from missing school due to illness.,Flu vaccination should be mandatory ,Flu vaccination,291
medicine had proven vaccination as effective against flu which can be as damaging as deadly. every year thousands of people die from the flu.,Flu vaccination should be mandatory ,Flu vaccination,291
"Not vaccinating is an irrational decision, since their benefits clearly outweigh the harms, therefore the state should intervein and force them to take them.",Flu vaccination should be mandatory ,Flu vaccination,291
"In developing countries where the flu is more likely to have intense adverse effects due to poor sanitation and lack of treatment, the flu vaccine prevents having to deal with a health crisis later.",Flu vaccination should be mandatory ,Flu vaccination,291
"Keeps the people health as one group , it helps to be not get other people sick",Flu vaccination should be mandatory ,Flu vaccination,291
A government mandate on flu vaccination will counterbalance lies being spread by the anti-vaxxing movement that are detrimental to society.,Flu vaccination should be mandatory ,Flu vaccination,291
"Mandating flu vaccination is good for the economy by creating more jobs in production, administration, and other management.",Flu vaccination should be mandatory ,Flu vaccination,291
"Even if some people refuse to get the vaccine, if many people decide to get it they will allow the entire population to be protected.",Flu vaccination should be mandatory ,Flu vaccination,291
"If everyone gets the vaccination, Flu may disappear. If only some people are vaccinated and the disease is still spreading it may change in a way that will be immune to the current vaccination.",Flu vaccination should be mandatory ,Flu vaccination,291
"If more people will vaccinate their families, less people will be sick",Flu vaccination should be mandatory ,Flu vaccination,291
Government taking a stance against anti-vaccination activists decreases fake news and provides more access to effective health care.,Flu vaccination should be mandatory ,Flu vaccination,291
"Vulnerable populations who cannot be vaccinated and who have higher flu mortality--for example, people with immunological deficiencies--can only be protected through herd immunities, which requires very high vaccination rates achievable only through mandatory flu vaccination.",Flu vaccination should be mandatory ,Flu vaccination,291
"Mandating the flu vaccine is a prerequisite to herd immunity, a critical equilibrium for large populations to be healthy and sustainable.",Flu vaccination should be mandatory ,Flu vaccination,291
The only way to completely eliminate the flu is if everyone gets vaccinated. In this way the virus can not survive and future generations will not need to be vaccinated at all.,Flu vaccination should be mandatory ,Flu vaccination,291
"Flu vaccine is helping to young babys and kids to survive their first years Before the flu vaccine, many people's in Europe die because of the disease. Now we can give life for more people's",Flu vaccination should be mandatory ,Flu vaccination,291
"If adults were regulated to get the vaccine, they would save thousands of hours in productivity that is lost to disease.",Flu vaccination should be mandatory ,Flu vaccination,291
"Even if flu vaccines aren't 100% effective, the chance of effectiveness is worth mandating vaccination since there are so few risks to people getting them that even one additionally prevented case is worth it.",Flu vaccination should be mandatory ,Flu vaccination,291
"Specifically those who don't get vaccinated are uneducated people who are not aware of the risks or read fake news, we know better and should protect them.",Flu vaccination should be mandatory ,Flu vaccination,291
It's the state's responsibility to protect it's citizens. If the vaccination can reduce the amount of people suffering and dying that the state have to do it.,Flu vaccination should be mandatory ,Flu vaccination,291
"If more people will get vaccinate, it will cause a stronger incentive to doctors to create better vaccination",Flu vaccination should be mandatory ,Flu vaccination,291
"flu vaccinations are a significant benefit to public health, as they limit disease vectors and contribute to herd immunity",Flu vaccination should be mandatory ,Flu vaccination,291
A mandatory flu vaccination creates a positive habit in people regarding vaccinations and regular medical treatments in general.,Flu vaccination should be mandatory ,Flu vaccination,291
Mandating flu vaccines will raise awareness about how deadly the flu actually is (causing thousands of death a year).,Flu vaccination should be mandatory ,Flu vaccination,291
Parents choose weather to vaccinate their children or not. They may put them in danger and the state should protect those children.,Flu vaccination should be mandatory ,Flu vaccination,291
"Making flu vaccination mandatory would mean more people are immune from the flu, which saves lives because, even though the flu has a low mortality rate, this rate is still nonzero.",Flu vaccination should be mandatory ,Flu vaccination,291
"In rare cases flu can cause death, therefore, vaccination could save life",Flu vaccination should be mandatory ,Flu vaccination,291
"Mandatory flu vaccination normalizes vaccines early on for children, which makes them less squeamish about future vaccines.",Flu vaccination should be mandatory ,Flu vaccination,291
The elderly can spread disease easily due to proximity in care facilities. The vaccine prevents them from spreading a life threatening disease.,Flu vaccination should be mandatory ,Flu vaccination,291
"Most people make uninformed decisions regarding vaccines, since it's a hard topic to understand, therefore the state should intervein and force them to take them.",Flu vaccination should be mandatory ,Flu vaccination,291
The government should protect those that can't protect themselves like children or people with asthma.,Flu vaccination should be mandatory ,Flu vaccination,291
"The economic harm caused by flu, in terms of work hours lost, is huge. As a society, we have a clear interest to intervene and prevent it.",Flu vaccination should be mandatory ,Flu vaccination,291
"Some vulnerable populations, like people with immunological deficiencies, both cannot get vaccinated and are particularly susceptible to the flu, and they require herd immunity, which can only be achieved through mandatory vaccination, to be safe.",Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination should be mandatory in order to ensure that people who have been mislead into opposing the vaccine are not victims of their own ignorance.,Flu vaccination should be mandatory ,Flu vaccination,291
Flu vaccination mandates pave the way for more strict vaccine mandates in the future that will help protect people from more dangerous diseases.,Flu vaccination should be mandatory ,Flu vaccination,291
