Winner,Loser,Hyper_Topic
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise","If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.",Flu vaccination
"The constitution does not grant the government the right to do this. The government also defines all powers that the government has, so it would be violating its contractual agreements with the people.",The flu is only deadly for a small group of at-risk people who should take it upon themselves to protect themselves but that does not mean everyone should risk vaccination side effects.,Flu vaccination
Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement. ,"If the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.",Flu vaccination
It the right of the parents to choose what they will do about their children health ,Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,Flu vaccination
Flu vaccination should not be mandatory because it would violate people's bodily autonomy.,"Many religions have practices that forbid vaccination, and this mandate would violate religious freedom.",Flu vaccination
"The constitution does not grant the government the right to do this. The government also defines all powers that the government has, so it would be violating its contractual agreements with the people.","There are legitimate risks in taking any vaccinations, like mix ups or unclean needles. Given that the negative consequences of the flue are pretty mild, it's legitimate to prioritize one over the other.",Flu vaccination
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise","Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated. ",Flu vaccination
The government forcing this on their citizens creates a precedent where they can ignore the will of the people.,"Vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.",Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
The government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.,The government has proven it cannot be trusted with mandated healthcare due to eugenics programs in the past.,Flu vaccination
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,"Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"If the government prioritizes group rights above individual rights, it removes personal freedoms.

",People will lie about getting the vaccine to avoid this regulation.,Flu vaccination
"Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided. ",Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future. ,Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement. ,Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.",Religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite. ,Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.","Even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.",Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.",Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise",Opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.,Flu vaccination
Government mandated vaccines are an expensive program that will trade off with other important programs.,People will lie about getting the vaccine to avoid this regulation.,Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally. ","It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy. ",Flu vaccination
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise","Forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate. ",Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.","the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
"Vaccination is very invasive, it is a needle going into a person's body. It is not legitimate to invade like that to a person's privacy and body.","the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
The state ought not intervene in individuals' right of bodily autonomy regardless of societal harms. Forcing vaccinations is a crude invasion to someone's body and should therefore not be done.,"Forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies.",Flu vaccination
Vaccines may kill people - we can not predict if a person would develop a severe reaction to any of the ingredients,making vaccination mandatory will be a heavy weight on the health system and would make it collapse most likely.,Flu vaccination
"If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.","If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Flu vaccination
"Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.","The disease would grow stronger by mutating on the entire population, it is best to save it for really sick oeople",Flu vaccination
Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,It is illegitimate to interfere with parents medical decisions in life threatening situations,Flu vaccination
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance.","The disease would grow stronger by mutating on the entire population, it is best to save it for really sick oeople",Flu vaccination
"If the government prioritizes group rights above individual rights, it removes personal freedoms.","If the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.",Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.","People are already well aware of the harms of the flu and the benefits of vaccination, meaning that the government should allow people to make the decisions they deem best for themselves.",Flu vaccination
"The constitution does not grant the government the right to do this. The government also defines all powers that the government has, so it would be violating its contractual agreements with the people.","Given most deseases spread in more ways than by humans, and given most people are vaccinated, the profit to society (or damage to it) is négligeable and therefor not worth limiting people's freedom over",Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.","States are built on a desire to protect individual autonomy, you cannot violate it even if it is to preserve public health.",Flu vaccination
The flu vaccine is relatively painful and could cause short-term pain and weakness. It is illegitimate to force people to undertake it against their will.,"the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.","The harm caused by the flu isn't large enough to justify this level of intrusion into people's freedom of choice. This may be legitimate for measles, but not flu.",Flu vaccination
The flu is only deadly for a small group of at-risk people who should take it upon themselves to protect themselves but that does not mean everyone should risk vaccination side effects.,"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally.",Flu vaccination
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.,Flu vaccination should not be mandatory because it is unnecessary to protect the public from the flu - enough people opt in freely to limit its spread.,Flu vaccination
"If there are issues in production or application with the vaccine, public trust in the government will be destroyed.",Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.,Flu vaccination
"Many religions have practices that forbid vaccination, and this mandate would violate religious freedom.",Opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.,Flu vaccination
"Forcing people to participate in a system they do not trust, often with passion and for irrational reasons, might lead them to distrust conventional medicine as a whole, increasing the risk to their health.","You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.",Flu vaccination
"Some people have ideological or religious convictions against vaccines, and it would be illegitimate to force it on them.","The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
Opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.,"The proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective",Flu vaccination
"It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy.","Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,Government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.,Flu vaccination
Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,Government mandated vaccines are an expensive program that will trade off with other important programs.,Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.","People that are varied of needles will do ANITHING to get out of the vaccination (kids will skip school , adults will fly aboard for short periods )",Flu vaccination
Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,"Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.",Flu vaccination
"Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated.",People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
"People do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise",Flu vaccination should not be mandatory because it is unnecessary to protect the public from the flu - enough people opt in freely to limit its spread.,Flu vaccination
"The state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.",Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination
"The flu vaccine is unpopular amongst a wide portion of the population, thus mandating it would be undemocratic and a violation of the population's political will.","the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
"If the government prioritizes group rights above individual rights, it removes personal freedoms.","If the government refuses to respect the will of the people, it will fall into fascism.",Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.","Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house",Flu vaccination
"You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.","Flu vaccination should not be mandatory because the flu is not as serious a health risk as other illnesses that we don't mandate a vaccine for, such as HPV.",Flu vaccination
"Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"Flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.",People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
Mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.,"Flu isn't such a horrible desease, people could get sick and then recover easily with the medicine available today, there is no need to be vaccinated.",Flu vaccination
"Flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
Vaccines may kill people - we can not predict if a person would develop a severe reaction to any of the ingredients,"Vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,"Forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate.",Flu vaccination
The government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.,"People that are varied of needles will do ANITHING to get out of the vaccination (kids will skip school , adults will fly aboard for short periods )",Flu vaccination
The flu is not a dangerous enough disease to justify the transgression of personal autonomy brought about by vaccines.,"Vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.",Flu vaccination
"Given most deseases spread in more ways than by humans, and given most people are vaccinated, the profit to society (or damage to it) is négligeable and therefor not worth limiting people's freedom over","Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided.",Flu vaccination
"Some religious beliefs are against vaccinations, and it's not legitimate for the state to intervene in that.",It the right of the parents to choose what they will do about their children health,Flu vaccination
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally.","The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way.",Flu vaccination
"People have a right over their bodies, the government should not intefiere with it.",People will lie about getting the vaccine to avoid this regulation.,Flu vaccination
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,Religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite.,Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","People that are varied of needles will do ANITHING to get out of the vaccination (kids will skip school , adults will fly aboard for short periods )",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,"If the government refuses to respect the will of the people, it will fall into fascism.",Flu vaccination
"While vaccinations are important, there are legitimate concerns regarding vaccination injuries and everyone should weigh the risks of both the flu and the possible side effects for themselves, as that is what democracy is about.",Herd immunity isn't possible because the flu changes entirely every year and severely sick and children can't be vaccinated. So the potential gain is minimal while a lot of harm can occur from complications.,Flu vaccination
"Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.","The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way.",Flu vaccination
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"Flu vaccination should not be mandatory because the flu is not as serious a health risk as other illnesses that we don't mandate a vaccine for, such as HPV.","the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
The government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.,The flu vaccine is not 100% effective due to mutating viruses -- mandating this vaccine is a massive waste of money and informational capital.,Flu vaccination
"The flu vaccine is unpopular amongst a wide portion of the population, thus mandating it would be undemocratic and a violation of the population's political will.","Some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children",Flu vaccination
"Many people have deep held beliefs against vaccination, such as religious beliefs, and the government should not trample upon the values of those people and violate their consent by forcing them to get vaccinated.","While vaccinations are important, there are legitimate concerns regarding vaccination injuries and everyone should weigh the risks of both the flu and the possible side effects for themselves, as that is what democracy is about.",Flu vaccination
Flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.,"If the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.",Flu vaccination
"You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.",Flu vaccination should not be mandatory because it is unnecessary to protect the public from the flu - enough people opt in freely to limit its spread.,Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","Forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate.",Flu vaccination
"You do not have to make vaccinations mandatory. Positive incentives can be given to people to get vaccinated, thus immunizing most of the population without the use of force.","Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house",Flu vaccination
Government mandated vaccines are an expensive program that will trade off with other important programs.,"If the government refuses to respect the will of the people, it will fall into fascism.",Flu vaccination
Herd immunity isn't possible because the flu changes entirely every year and severely sick and children can't be vaccinated. So the potential gain is minimal while a lot of harm can occur from complications.,"There are legitimate risks in taking any vaccinations, like mix ups or unclean needles. Given that the negative consequences of the flue are pretty mild, it's legitimate to prioritize one over the other.",Flu vaccination
"The constitution does not grant the government the right to do this. The government also defines all powers that the government has, so it would be violating its contractual agreements with the people.",Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination
"It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy.","Even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.",Flu vaccination
"Vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it.","Even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.",Flu vaccination
"It is illegitimate for the state to mandate that because people have a right to their body. It is illegal for example make someone quit smoking mandatorilly, because that's his basic autonomy.","Flu vaccination should not be mandatory because the flu is not as serious a health risk as other illnesses that we don't mandate a vaccine for, such as HPV.",Flu vaccination
"If the government prioritizes group rights above individual rights, it removes personal freedoms.",Adverse reactions to the vaccine in the elderly can cause life threatening conditions.,Flu vaccination
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.","The majority of the time the flu is a very benign disease, it is unfair to mandate the vaccine for all if very few experience real harms either way.",Flu vaccination
"Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house","People often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness.",Flu vaccination
"Many religions have practices that forbid vaccination, and this mandate would violate religious freedom.",Government mandated vaccines are an expensive program that will trade off with other important programs.,Flu vaccination
"Vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it.","Given most deseases spread in more ways than by humans, and given most people are vaccinated, the profit to society (or damage to it) is négligeable and therefor not worth limiting people's freedom over",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,"If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.",Flu vaccination
Flu vaccination should not be mandatory because it would violate people's bodily autonomy.,"If the government prioritizes group rights above individual rights, it removes personal freedoms.",Flu vaccination
Flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.,"If the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.",Flu vaccination
People can get sick from the vaccination and lose workdays or even get into complications. Even if the virus is weaker there are more people being hurt.,"the body has an automatic vaccination due to evolution, those who got sick and died are the weakest link and we are better off without them",Flu vaccination
"The flu, while undesirable and uncomfortable, is not deadly. The state has no right to force people to vaccinate when the harm isn't fatal.","If everybody are vaccinated, Flu can become immune to the specific vaccination and Flu may become more aggressive towards human.",Flu vaccination
The flu is only deadly for a small group of at-risk people who should take it upon themselves to protect themselves but that does not mean everyone should risk vaccination side effects.,"Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.",Flu vaccination
"Coercion and threats via government mandate prevent long-term successful health policy by making people feel attacked, which means you will have more backlash against flu vaccines than if you just negotiated with people rationally.",Practicing someone's deeply held (or even religious in some cases) beliefs is a strong right in a democracy that justifies a certain risk to other's health and well being. Example - circumsition.,Flu vaccination
"Flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.",People who don't believe in vaccines will get angry at the state and would show less willingness to work with it.,Flu vaccination
"Forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house","Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided.",Flu vaccination
Flu vaccination should not be mandatory because it is unnecessary to protect the public from the flu - enough people opt in freely to limit its spread.,"Most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided.",Flu vaccination
"Vaccinations have side effects of pain and weakness, and their effectiveness is only partial. A person has the right and the ability to make a conscious decision whether to vaccinate himself or not.","People that are varied of needles will do ANITHING to get out of the vaccination (kids will skip school , adults will fly aboard for short periods )",Flu vaccination
"Flu vaccination should not be mandatory because in order to meet the demand for hundreds of millions of units of the vaccine, safety standards would be lowered and people would be given bad vaccines.","People often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness.",Flu vaccination
