Winner,Loser,Hyper_Topic
"Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation.","Conditions in the meat industry have improved drastically, life in the wild or no life at all is in no way better for these animals therefore we dont harm animals and shouldnt be vegetarians",Vegetarianism
"Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure","We should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.",Vegetarianism
"Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure","We should not adopt vegetarianism because it is possible to raise meat in a sustainable fashion, so total vegetarianism is unnecessary. ",Vegetarianism
"In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives",adopting vegetarianism will result in realising all domesticated animal grown for the meet industry. the realising of the big amount of domesticated animals will hurt the wildlife balance.,Vegetarianism
"By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others.","Even if animals have rights, it is clear that humans have rights of a higher order. Eating animals generates utility for humans - it is better to satisfy the entity with higher order rights.",Vegetarianism
"Vegetarianism is not healthy for human beings, as it lacks critical vitamins such as B12. People cannot be trusted to take such supplements instead of meat. ","It is not immoral to eat animals because they are not members of our social constructs and do not have moral worth, therefore a meatless diet is not morally required. ",Vegetarianism
Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised,Animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.,Vegetarianism
"Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.","Attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.",Vegetarianism
"Attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation.",Vegetarianism
A majority of restaurants would shut down if they were forced to only serve vegetarian food.,People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,Vegetarianism
"Individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives.","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)",Vegetarianism
Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat. ,Vegetarianism
"A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy. ",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.,Vegetarianism
Vegetarianism can be more expensive especially for people who want a diversity of foods to eat.,People will be anemic and lack protein if there aren't readily accessible sources ,Vegetarianism
"Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. ","Each person has thlive according to his way of life when it came,  vegetarian view  he needs the freedom to chose ",Vegetarianism
Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.,"Attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.",Vegetarianism
"A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy. ","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian ",Vegetarianism
Vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.,People will be anemic and lack protein if there aren't readily accessible sources ,Vegetarianism
Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.,"Even if animals have rights, it is clear that humans have rights of a higher order. Eating animals generates utility for humans - it is better to satisfy the entity with higher order rights.",Vegetarianism
"In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients. ",Animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.,Vegetarianism
"vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)","Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate.",Vegetarianism
"You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.","vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc) ",Vegetarianism
"Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. ","Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced.",Vegetarianism
"Animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism.","In the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen ",Vegetarianism
"Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate.","Even if animals have rights, it is clear that humans have rights of a higher order. Eating animals generates utility for humans - it is better to satisfy the entity with higher order rights.",Vegetarianism
"Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism.","Each person has thlive according to his way of life when it came,  vegetarian view  he needs the freedom to chose ",Vegetarianism
Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.,The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood. ,Vegetarianism
Vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.,Feeding humans is likely the most significant thing the animal can do anyway,Vegetarianism
"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. ","In the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen ",Vegetarianism
Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat. ,"There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism.",Vegetarianism
"Soy, a major staple of the vegetarian diet due to being protein-rich, has many bad side effects like increasing estrogen levels and being high in glyphosate. ","vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc) ",Vegetarianism
Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.,"Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
"You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.","We only have one life to live and one of the most universal pleasurable experiences is eating good food, so although there is some delicious vegetarian food, eating meat is part of a good life. ",Vegetarianism
"Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism.",adopting vegetarianism will result in realising all domesticated animal grown for the meet industry. the realising of the big amount of domesticated animals will hurt the wildlife balance.,Vegetarianism
Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.,"In the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen ",Vegetarianism
"Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people. ",Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.,Vegetarianism
"In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients. ",People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,Vegetarianism
"Animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism.",Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.,Vegetarianism
"Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.","A lot of rights that apply to humans are not applied to animals (example, the right to vote); therefore the rights of humans to choose is more important than the rights of animals to live.",Vegetarianism
"The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism.","We should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.",Vegetarianism
A majority of restaurants would shut down if they were forced to only serve vegetarian food.,"Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.,"A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.",Vegetarianism
"High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects.","Each person has thlive according to his way of life when it came,  vegetarian view  he needs the freedom to chose ",Vegetarianism
Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.,Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised,Vegetarianism
Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,"Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation.",Vegetarianism
Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.,Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.,Vegetarianism
"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. ","Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions",Vegetarianism
"Food is an important part of cultural identity and adopting vegetarianism would be inconsistent with maintaining highly valued aspects of many cultures, identification with which forms a key element in many people's identity.  ","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants. ",Vegetarianism
Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. ",Vegetarianism
"Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people. ","Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions",Vegetarianism
"Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy",People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,Vegetarianism
"Getting rid of all animal farms would destroy hundreds of thousands of jobs around the world, making vegetarianism dangerous.","Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
"Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian ","Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.,Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.,Vegetarianism
"Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats. ","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.",Vegetarianism
"Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. ",Feeding humans is likely the most significant thing the animal can do anyway,Vegetarianism
"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. ",Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.,Vegetarianism
"Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.",Vegetarianism
"There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism.",Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.,Vegetarianism
Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning. ,Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.,Vegetarianism
Meat and meat-derived protein is higher quality than vegetarian protein substitutes.,People will be anemic and lack protein if there aren't readily accessible sources,Vegetarianism
"Food is an important part of cultural identity and adopting vegetarianism would be inconsistent with maintaining highly valued aspects of many cultures, identification with which forms a key element in many people's identity.","Animals do not have any moral standing, since they are incapable of reciprocity and are not part of the social contract. Therefore, vegetarianism does not add any moral value.",Vegetarianism
"In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives",Some leaders of the vegetarian & vegan movements have committed literal acts of terrorism to push their agenda; a worldwide acceptance could be seen as bowing down to the method.,Vegetarianism
"Meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value.","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure",Vegetarianism
The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.,"Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate.",Vegetarianism
"Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.,Vegetarianism
"We should not adopt vegetarianism because it would undermine the traditional food culture, and food is an important part of people's connection to their family and community.","Vegetarian diets can only be healthy with rigorous planning and considerable spending, which is impossible for many working people around the world.",Vegetarianism
Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.,"Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
"Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign.",Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.,Vegetarianism
A majority of restaurants would shut down if they were forced to only serve vegetarian food.,"Animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.",Vegetarianism
"Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom.","We should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.",Vegetarianism
Eating a nutritionally balanced diet is easier if animal products are part of it,"Meat is delicious, the New York Strips is one of the greatest meals of all time.",Vegetarianism
"By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others.","Attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.",Vegetarianism
"Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism.","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)",Vegetarianism
"Animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism.","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian",Vegetarianism
Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.,"Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced.",Vegetarianism
"Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism.","vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc)",Vegetarianism
Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.,"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land.",Vegetarianism
"We should not adopt vegetarianism because it would devastate communities that rely on livestock to bring in capital - like the entire country of Argentina, which depends heavily on beef.","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats.",Vegetarianism
Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.,some people will loose the joy in eating. a joy that is known to be important for many people life's.,Vegetarianism
Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.,Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised,Vegetarianism
The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood.,"Getting rid of all animal farms would destroy hundreds of thousands of jobs around the world, making vegetarianism dangerous.",Vegetarianism
Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.,People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,Vegetarianism
"Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat.",People who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.,Vegetarianism
"Animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism.",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,Vegetarianism
"By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others.","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.",Vegetarianism
"Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy.","Animals do not have any moral standing, since they are incapable of reciprocity and are not part of the social contract. Therefore, vegetarianism does not add any moral value.",Vegetarianism
People will be anemic and lack protein if there aren't readily accessible sources,We should not adopt vegetarianism because this is a violation of personal autonomy,Vegetarianism
"Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger.","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats.",Vegetarianism
"Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian","In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients.",Vegetarianism
"A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land.","Animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.",Vegetarianism
Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.,"Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions",Vegetarianism
Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.,"Conditions in the meat industry have improved drastically, life in the wild or no life at all is in no way better for these animals therefore we dont harm animals and shouldnt be vegetarians",Vegetarianism
Many vegetarian diets are unhealthy and rely on highly processed food products whose manufacture contributes to climate change.,Feeding humans is likely the most significant thing the animal can do anyway,Vegetarianism
Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.,"vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc)",Vegetarianism
"Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy.","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.",Vegetarianism
A majority of restaurants would shut down if they were forced to only serve vegetarian food.,Feeding humans is likely the most significant thing the animal can do anyway,Vegetarianism
"In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives","A lot of rights that apply to humans are not applied to animals (example, the right to vote); therefore the rights of humans to choose is more important than the rights of animals to live.",Vegetarianism
"The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism.","We should not adopt vegetarianism because it is possible to raise meat in a sustainable fashion, so total vegetarianism is unnecessary.",Vegetarianism
"Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat.","Each person has thlive according to his way of life when it came, vegetarian view he needs the freedom to chose",Vegetarianism
"There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism.","It is not immoral to eat animals because they are not members of our social constructs and do not have moral worth, therefore a meatless diet is not morally required.",Vegetarianism
The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.,"Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism.",Vegetarianism
"Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom.","We should not adopt vegetarianism because it is possible to raise meat in a sustainable fashion, so total vegetarianism is unnecessary.",Vegetarianism
"Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants.",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.,Vegetarianism
The meat industry is employing millions of people who will lose their jobs if we forego meat at once. We should prioritize the meat industry human workers over animals.,"In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives",Vegetarianism
"Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people.","Animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.",Vegetarianism
"A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy.",Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.,Vegetarianism
"Many people feel better on a meat-inclusive diet, and people should do whatever makes them happy and functional, so they should only adopt vegetarianism if they want to (not because of social coercion).","There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism.",Vegetarianism
"High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects.",Animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.,Vegetarianism
"You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.",Most banned substances have seen a greater use in society (as with alcohol in the US in the 1920s); by making a national policy adopting vegetarianism we risk increasing consumption and undermining our effort.,Vegetarianism
"Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger.","vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc)",Vegetarianism
